date,escopo_autuacao,uf,quantidade_autos
01-JUL-2021,Excesso de Peso,GO,102
01-JUL-2021,Excesso de Peso,MG,1564
01-JUL-2021,Excesso de Peso,MS,1
01-JUL-2021,Excesso de Peso,PR,670
01-JUL-2021,Evasão de Balança,ES,63
01-JUL-2021,Evasão de Balança,MG,1023
01-JUL-2021,Excesso de Peso,GO,56
01-JUL-2021,Excesso de Peso,MG,1
01-JUL-2021,Excesso de Peso,PR,137
01-JUL-2021,Excesso de Peso,RJ,316
01-JUL-2021,Excesso de Peso,RS,77
01-JUL-2021,Excesso de Peso,SC,212
01-JUL-2021,Excesso de Peso,SP,128
01-AGO-2021,Evasão de Balança,RJ,4143
01-AGO-2021,Excesso de Peso,BA,13
01-AGO-2021,Excesso de Peso,ES,247
01-AGO-2021,Excesso de Peso,MG,4
01-AGO-2021,Excesso de Peso,PR,561
01-AGO-2021,Excesso de Peso,RJ,350
01-AGO-2021,Excesso de Peso,RS,130
01-SET-2021,CMT - Capacidade Máxima de Tração,MG,1
01-SET-2021,CMT - Capacidade Máxima de Tração,RJ,4
01-SET-2021,Evasão de Balança,SP,2301
01-SET-2021,Excesso de Peso,GO,358
01-SET-2021,Excesso de Peso,MT,260
01-SET-2021,Excesso de Peso,SC,30
01-OUT-2021,Excesso de Peso,ES,60
01-OUT-2021,Excesso de Peso,ES,102
01-OUT-2021,Excesso de Peso,MG,3
01-OUT-2021,Excesso de Peso,PR,109
01-OUT-2021,Excesso de Peso,RJ,461
01-OUT-2021,Excesso de Peso,RS,36
01-OUT-2021,Excesso de Peso,SP,326
01-NOV-2021,CMT - Capacidade Máxima de Tração,MG,1
01-NOV-2021,Evasão de Balança,ES,193
01-NOV-2021,Evasão de Balança,GO,1740
01-NOV-2021,Evasão de Balança,MT,12
01-NOV-2021,Excesso de Peso,ES,64
01-NOV-2021,Excesso de Peso,MG,711
01-NOV-2021,Excesso de Peso,RJ,724
01-NOV-2021,Excesso de Peso,RS,46
01-NOV-2021,Excesso de Peso,SC,292
01-DEZ-2021,CMT - Capacidade Máxima de Tração,ES,1
01-DEZ-2021,CMT - Capacidade Máxima de Tração,SP,1
01-DEZ-2021,Excesso de Peso,GO,149
01-DEZ-2021,Excesso de Peso,GO,380
01-DEZ-2021,Excesso de Peso,MT,49
01-DEZ-2021,Excesso de Peso,PR,72
01-JAN-2022,CMT - Capacidade Máxima de Tração,RJ,2
01-JAN-2022,Evasão de Balança,ES,136
01-JAN-2022,Evasão de Balança,SP,748
01-JAN-2022,Excesso de Peso,ES,96
01-JAN-2022,Excesso de Peso,MT,22
01-JAN-2022,Excesso de Peso,MT,26
01-JAN-2022,Excesso de Peso,MT,236
01-JAN-2022,Excesso de Peso,PR,25
01-JAN-2022,Excesso de Peso,PR,29
01-JAN-2022,Excesso de Peso,RJ,459
01-JAN-2022,Excesso de Peso,RS,51
01-JAN-2022,Excesso de Peso,SC,677
01-JUL-2021,Excesso de Peso,RS,86
01-JUL-2021,Excesso de Peso,SC,204
01-AGO-2021,CMT - Capacidade Máxima de Tração,PR,1
01-AGO-2021,CMT - Capacidade Máxima de Tração,PR,2
01-AGO-2021,CMT - Capacidade Máxima de Tração,SC,2
01-AGO-2021,Evasão de Balança,MG,1853
01-AGO-2021,Evasão de Balança,SP,1614
01-AGO-2021,Excesso de Peso,MG,1697
01-AGO-2021,Excesso de Peso,PR,148
01-AGO-2021,Excesso de Peso,RJ,260
01-AGO-2021,Excesso de Peso,RS,81
01-AGO-2021,Excesso de Peso,RS,443
01-AGO-2021,Excesso de Peso,SC,144
01-SET-2021,CMT - Capacidade Máxima de Tração,PR,1
01-SET-2021,CMT - Capacidade Máxima de Tração,PR,1
